Depth,Channel,State,Pulse_Index,AC_Component_Ratio,AUC_Ratio,Amplitude_Ratio,DC_Component_Ratio,Delta_A_Ratio,Delta_T_Difference,Downslope_Ratio,PI_Ratio,Rise_Time_Ratio,Upslope_Ratio,Width_Ratio_Difference
3,Combined,Ischaemia,19,0.5993132377798316,0.5707787692667077,0.5993132377798316,1.4408083835540457,0.4157541467565542,-0.030500000000000013,2.4973861568309506,0.4159562534005716,1.627604165818956,1.1025131724700854,0.3884899118071269
3,Combined,Ischaemia,20,0.5758173923783547,0.5445318312846941,0.5758173923783547,1.4406585583878506,0.3994954115725412,0.014499999999999985,2.308993197771913,0.3996904110407546,1.1402597396673975,0.9271452370294176,0.03185551757595895
3,Combined,Ischaemia,21,0.5250495390656562,0.5147059037800481,0.5250495390656562,1.440595162576816,0.36427427289377173,0.0305,2.9605588915646743,0.36446711026781503,1.0402144766540404,0.8539329869623347,0.021485599448362258
3,Combined,Ischaemia,22,0.5548952412379143,0.5848826794196,0.5548952412379143,1.4406741330422115,0.3849698299323183,-0.031499999999999986,1.4736266843029873,0.38516361659255055,1.5431472073385037,1.1703297616287867,0.3075039861811546
3,Combined,Ischaemia,23,0.5601323883898007,0.6088130485352745,0.5601323883898007,1.4407428801065993,0.3885818489783987,0.009999999999999981,2.1451203896965136,0.38878027030635104,1.0487179481801445,0.9230315077289359,0.011549334872491546
3,Combined,Ischaemia,24,0.609591136090437,0.5282064353700232,0.609591136090437,1.4406233768098515,0.4229413512320704,0.0025000000000000022,1.7769223350741719,0.42314401222606096,1.0312499994628905,1.0077806844504444,0.019846169581487993
3,Combined,Ischaemia,25,0.6451683233391539,0.5647082044232182,0.6451683233391539,1.440729927171363,0.4476036833601073,0.012999999999999984,2.536169582245736,0.4478065820989648,1.0102827758301887,0.774720253469796,0.015050008338312715
3,Combined,Ischaemia,26,0.6183274787418334,0.6389486710445024,0.6183274787418334,1.440699674905441,0.42898338395978536,-0.0050000000000000044,1.8303640591045227,0.42918556142775866,1.0569948181051838,0.9663322158712655,0.01605118245571535
3,Combined,Ischaemia,27,0.5703478894919352,0.6158827451571192,0.5703478894919352,1.4407297150340221,0.3956777355545357,0.0015000000000000013,2.2061958990729957,0.3958743282207215,0.9920424397920199,0.9761314238079324,-0.012115335077150013
3,Combined,Ischaemia,28,0.6433877896866838,0.6218080775186312,0.6433877896866838,1.4405255419850904,0.44642832656902154,-0.016000000000000014,1.7023333545099177,0.4466340871067042,1.5526992279934706,0.9514708281607762,0.30567384303514133
3,Combined,Ischaemia,29,0.6479169884666385,0.6271905713742908,0.6479169884666385,1.4404037506950393,0.44962093875879217,-0.0015000000000000013,2.2511682044529744,0.4498162478106058,1.0213903737853527,1.0029387463608517,0.06000733962303617
3,Combined,Congestion,0,1.1113986385348165,1.1091530355468535,1.1113986385348165,1.4645433683508267,0.7587424352759325,0.08549999999999999,1.1347282402953025,0.7588704484537319,1.3038961032187553,0.912472125812645,0.15216123333222864
3,Combined,Congestion,1,1.1032186791094551,1.089384821917496,1.1032186791094551,1.4646576028027778,0.7530796047711722,-0.1895,1.0603667439565312,0.7532263621585161,0.9976851847232938,0.9661926780684393,0.0005166666971809786
3,Combined,Congestion,2,1.1160868203302334,1.116279387678524,1.1160868203302334,1.4648068412820738,0.7617901688643703,0.007499999999999979,1.0100342471142845,0.7619344939448986,0.9303944311227869,1.0545009016159024,-0.042206052449978326
3,Combined,Congestion,3,0.9900494104016699,0.9996475996306847,0.9900494104016699,1.4649949807671012,0.6756253156976209,-0.006499999999999978,0.9659151629379564,0.6758039837369065,0.8479262668903566,1.134310991453222,-0.0774423262162155
