State,Pulse_ID,PI_Ratio,Amplitude_Ratio,Delta_A_Ratio,Rise_Decay_Ratio_Red,Rise_Decay_Ratio_IR,b_a_Red,b_a_IR,c_a_Red,c_a_IR,d_a_Red,d_a_IR,e_a_Red,e_a_IR,Skewness_Red,Skewness_IR,Kurtosis_Red,Kurtosis_IR,Variance_Red,Variance_IR
Normal,20,0.4703020523349175,0.6777100049290546,0.4703020523349175,0.29527027027027025,0.1869969040247678,-0.8025823305040082,-1.0694913041207417,0.6794779978926895,0.22074124665046754,-0.44935237410211354,-0.1852020654329008,0.7631696153111946,0.43941255932291357,-0.2649503833637622,-0.11910643923302675,-1.3095782618112166,-1.3256939011034652,0.09773016141516053,0.10085829110575449
Normal,21,0.4711800480524537,0.6791131071338045,0.4711800480524537,0.17009685230024216,0.19616336633663364,-1.0621561574278862,-0.9845206129730103,0.6042853696139157,0.24348657007774974,-0.5397082123349376,-0.23813211505037746,0.45676233946937733,0.44139222553384916,-0.09983410005729948,-0.15293814865299737,-1.3241303072778483,-1.313265830171177,0.09549135590983937,0.10238920467222032
Normal,22,0.46300014580774845,0.6674075559640978,0.46300014580774845,0.4205469327420547,0.19900187149095447,-1.3063502457930165,-0.9801831940831135,0.5482383870491737,0.1795539620906176,-0.583234179094353,-0.17985852924977075,0.8557578768230177,0.5093114899425352,-0.002917186646769039,-0.13922411764355083,-1.222225216480437,-1.3264227973465346,0.08974872649081646,0.10262283147565154
Normal,23,0.4542758875474359,0.6548881576811448,0.4542758875474359,0.17009685230024216,0.19100431300061615,-1.0082726722083564,-1.031524231805812,0.40727175005729904,0.23628943067311364,-0.36533162038300965,-0.1752744457237599,0.42765206037051273,0.5246536259915598,-0.22588898716219402,-0.1327496658199511,-1.2266960071335276,-1.3455086914324654,0.09387935264834804,0.10135838091985873
Normal,24,0.42002170462887967,0.6055340331506908,0.42002170462887967,0.1825980392156863,0.19430693069306929,-0.803029722711183,-1.117034849136053,0.3194283986429195,0.21437840540528075,-0.3334608001242798,-0.18879610199629757,0.6165855015681929,0.49827562810562787,-0.30792309291430914,-0.1380460921462157,-1.4145701729033417,-1.3133035172653649,0.1090047008194021,0.10123804193949398
Normal,25,0.43329941099635877,0.6246893708802852,0.43329941099635877,0.20639899623588456,0.19887780548628428,-1.1764475066280402,-0.9676270362328205,0.5950819622157001,0.20963742035530314,-0.7655269796193049,-0.20244797621817118,0.9454790480231867,0.5303014452091631,-0.12785317130299537,-0.147874633602914,-1.5253273103739404,-1.3307362381010337,0.10419669039529504,0.10252262703607812
Normal,26,0.4789749549974809,0.6905027436695768,0.47897495499748083,0.3428372739916551,0.2016179215930305,-0.9002265091067075,-0.952540122140574,0.3231020692272797,0.1770511400430551,-0.3831890626057857,-0.15007484251827283,0.5399429093418798,0.44073624741828904,-0.278144759799831,-0.1337837724167472,-1.2690584989746023,-1.3294493999728223,0.08946970536925045,0.10319868603716947
Normal,27,0.5098810278838116,0.7351042058177583,0.5098810278838116,0.19439252336448598,0.19439252336448598,-0.8869636892681264,-0.9897280702386488,0.2939538025796731,0.22446235019078276,-0.30416631985164727,-0.22627744484850443,0.5462131684589784,0.4151332062642856,-0.2608213792568241,-0.15753641898487092,-1.030297285674582,-1.2975186288534244,0.08122732132838403,0.09957759262350285
Normal,28,0.4554229287737083,0.6566632685819751,0.4554229287737084,0.17632850241545894,0.20395550061804696,-1.38499969608911,-1.0223720848591322,0.6401968214227649,0.2664793920398002,-0.611668017113724,-0.22726992136569157,0.6998126710472832,0.6337462712153167,-0.3755696573709032,-0.18559258308824178,-1.2213711115281811,-1.2719786809518674,0.09537667844135227,0.0985935787766747
Normal,29,0.44773114770631783,0.645583893761175,0.44773114770631783,0.2917505030181086,0.18450184501845018,-0.8162279266132639,-0.954854834494642,0.7175477019349283,0.1988746593461803,-0.7043604157700561,-0.22587105641527738,0.665811931561864,0.5017594436130736,-0.1276850947279184,-0.12116059391074113,-0.9780751096461664,-0.9115261058279427,0.06703863306877483,0.06814940840006059
Ischaemia,0,0.4574532184141762,0.6592974818941292,0.45745321841417624,0.14557338086749852,0.16074653822998194,-1.1214493600847217,-0.9693919957612754,0.49013940755322305,0.21557346377790365,-0.38881351625070165,-0.23753901408790054,0.43619706218925985,0.5357205859963183,-0.09736485380267941,-0.26685032504916345,-1.304790843827709,-1.3070274241597089,0.08373211719469846,0.09798338851984353
Ischaemia,1,0.44723173341712513,0.6445417824371797,0.44723173341712513,0.26468689477081986,0.18083182640144665,-1.1322226626107061,-0.964796022576791,0.5122696584505613,0.20168258737061653,-0.4569658554739417,-0.2620936487443512,1.3143668789636689,0.4712825614249542,-0.27077850909988216,-0.1408802034830777,-1.250822040391671,-1.3562446980703446,0.0786574340162843,0.10201200728508623
Ischaemia,2,0.5080751486398061,0.7322441354930381,0.5080751486398061,0.16251482799525507,0.18357487922705315,-0.8941249616597506,-0.8608064745140015,0.4411192237228441,0.2861154653071608,-0.41380679041871476,-0.2678036189982274,1.1459731358361762,0.5452283563119712,-0.08010547877360394,-0.13525611559950124,-0.8813453746142903,-1.3630258716063313,0.07458020843633043,0.10367215750076111
Ischaemia,3,0.4811968805719733,0.693456135318703,0.48119688057197324,0.34695290858725764,0.16536848412222888,-1.3011784942558409,-0.931442758314409,1.4192226838180788,0.1927564800838178,-0.9418687162441012,-0.23462870305160113,0.5649337700983202,0.5103589352480608,0.09590489980449741,-0.14049880862305736,-1.074109648059908,-1.3288464910620938,0.06601828780503576,0.0996962505477078
Ischaemia,4,0.41909155730895425,0.6039522254434366,0.4190915573089542,0.20172201722017222,0.17076093469143197,-0.7443080689195931,-0.942977124555491,0.48098043244216193,0.26109264802166154,-0.5888628666307211,-0.2515719565110432,0.863422671344413,0.4111363359696639,-0.2092658234511538,-0.16652572529187765,-1.0962545201142146,-1.3688430843257964,0.09098535701474557,0.10321935308970076
Ischaemia,5,0.4220292353106576,0.6082121375738763,0.4220292353106576,0.17622208811104403,0.16497310221159595,-0.9074802332020877,-1.1691544817271269,0.4817974547830596,0.21041760370825807,-0.36336614825542557,-0.26694344147004323,0.8549194442353354,0.4262773805828344,-0.191982699687747,-0.17426858016893412,-1.4305963414066203,-1.3413794349648716,0.096519906372157,0.10050769315408628
Ischaemia,6,0.43677211205196753,0.6294301632928668,0.4367721120519675,0.1477139507620164,0.1724550898203593,-0.9178093927096723,-1.1460194367454817,0.52200677756069,0.2755617668330597,-0.6298928765318915,-0.28036557733795164,1.124636374410877,0.6903084518839685,-0.2992783220434902,-0.1421910722565377,-1.37666160104675,-1.3517444113519135,0.09115134449739776,0.09925664449460553
Ischaemia,7,0.42070459811640953,0.6062680114747928,0.42070459811640953,0.1724550898203593,0.15789473684210525,-0.6030516048483328,-1.0394600573894046,0.34278605929690464,0.19984098230520403,-0.4096953011239667,-0.21154658538623072,0.7822489878318188,0.5039559887061735,-0.17623202621992942,-0.16538524631283363,-1.4152149629069795,-1.3595763694240652,0.1022512623624012,0.09927022979351438
