Feature,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,Youden_J,LR_Positive,LR_Negative,TP,TN,FP,FN,Is_Inverse,Depth,Source,Category,Clean_Feature,Display_Name
S_AUC,Ischaemia,30,30,1.0,1.0,1.0,0.6172,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,IR,Area,S_AUC,S_AUC
Start_Datum_Area,Ischaemia,30,30,1.0,1.0,1.0,0.907333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,30,30,0,0,True,3,IR,Area,Start_Datum_Area,Start_Datum_Area
Pulse_Width,Ischaemia,30,30,0.993333,0.978861,1.0,0.9695,0.966667,0.933333,0.935484,0.965517,0.95,0.95082,0.9,14.5,0.035714,29,28,2,1,False,3,IR,Time,Pulse_Width,Pulse_Width
AUC_Ratio,Ischaemia,30,30,0.957778,0.90724,0.994442,0.237383,0.9,0.933333,0.931034,0.903226,0.916667,0.915254,0.833333,13.5,0.107143,27,28,2,3,True,3,IR,Area,AUC_Ratio,AUC_Ratio
Rise_Decay_Time_Ratio,Ischaemia,30,30,0.95,0.883332,0.997775,0.253359,0.933333,0.9,0.903226,0.931034,0.916667,0.918033,0.833333,9.333333,0.074074,28,27,3,2,True,3,IR,Time,Rise_Decay_Time_Ratio,Rise_Decay_Time_Ratio
Width_Ratio,Ischaemia,30,30,0.948889,0.88333,0.996571,0.789862,0.933333,0.9,0.903226,0.931034,0.916667,0.918033,0.833333,9.333333,0.074074,28,27,3,2,True,3,IR,Time,Width_Ratio,Width_Ratio
SDPPG_e_a,Ischaemia,30,30,0.946667,0.882486,0.987559,0.238078,0.833333,0.9,0.892857,0.84375,0.866667,0.862069,0.733333,8.333333,0.185185,25,27,3,5,False,3,IR,SDPPG,SDPPG_e_a,SDPPG_e_a
Downslope_Length,Ischaemia,30,30,0.914444,0.810266,0.986562,1.28157,0.833333,0.966667,0.961538,0.852941,0.9,0.892857,0.8,25.0,0.172414,25,29,1,5,False,3,IR,Slope,Downslope_Length,Downslope_Length
PW50,Ischaemia,30,30,0.900556,0.804211,0.97868,0.5215,0.933333,0.833333,0.848485,0.925926,0.883333,0.888889,0.766667,5.6,0.08,28,25,5,2,False,3,IR,Time,PW50,PW50
Length_Height_Ratio,Ischaemia,30,30,0.88,0.782133,0.958479,2.311719,0.766667,0.9,0.884615,0.794118,0.833333,0.821429,0.666667,7.666667,0.259259,23,27,3,7,False,3,IR,Other,Length_Height_Ratio,Length_Height_Ratio
