Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff,State,Channel,Depth_mm
2,0.001964089008380289,1.8971268049804477,1.8971268049804477,0.0,0.773175495823318,0.3571590229627465,2.164793400456704,0.0017000089028612682,Ischaemia,Red,3
3,0.0019600502106999693,2.210593246995562,0.0,2.2086332118019594,0.8417409007546712,0.6066519775061202,1.3875185970957777,0.0019600502106999693,Ischaemia,Red,3
4,0.0017201656199700012,1.4936872564275918,1.4936872564275918,0.0,0.6699969587948658,0.34275813939288624,1.9547222422831578,0.0017140198966057848,Ischaemia,Red,3
5,0.0017031834072831966,1.6436345224999211,1.6436345224999211,0.0,0.7081806300233296,0.30489001628816254,2.3227412909250615,0.001692441510665733,Ischaemia,Red,3
6,0.0017587241568254592,1.7264605426671769,0.0,1.7247018399026994,0.7415823132600032,0.30315305441575213,2.446230715666739,0.0017587241568254592,Ischaemia,Red,3
7,0.0018020083703669202,1.8922621018502719,1.8922621018502719,0.0,0.7559468067600021,0.4212655045823906,1.7944664315901873,0.0016806702841739496,Ischaemia,Red,3
8,0.0018191879280679453,1.9470556803136927,0.0,1.94523650832523,0.7838484414303726,0.5296660020381729,1.4798919289025478,0.0018191879280679453,Ischaemia,Red,3
9,0.0020252348580875536,1.7401483091872787,1.7401483091872787,0.0,0.7627913049543054,0.43748073990762765,1.7435997413631643,0.0017746756523794997,Ischaemia,Red,3
10,0.0019556289553905254,1.5748350939343485,0.0,1.5728794756753985,0.6987748790043784,0.28065321605249877,2.48981603999744,0.0019556289553905254,Ischaemia,Red,3
11,0.0019730961223296878,1.9211478123903536,1.9211478123903536,0.0,0.7614827749973143,0.33497290042609956,2.2732668046539772,0.0017725720715446535,Ischaemia,Red,3
12,0.0018234044075155676,1.7343222878819176,0.0,1.7324989066353895,0.7031110464311063,0.3529148920972111,1.9922963359603227,0.0018234044075155676,Ischaemia,Red,3
13,0.0017443593677767958,1.788304221886733,1.788304221886733,0.0,0.7460552539263476,0.34629146440068986,2.154414216410185,0.00167108276856265,Ischaemia,Red,3
14,0.0019192887730385144,1.826782389437195,1.826782389437195,0.0,0.791124756799852,0.3426231752169343,2.3090228975285916,0.0017622332834765406,Ischaemia,Red,3
15,0.0017205708478616455,1.618271181867751,0.0,1.6165506290405798,0.690709210912908,0.3339003864992494,2.0686085995724377,0.0017205708478616455,Ischaemia,Red,3
16,0.0017679078900235616,2.3757417301547434,2.3757417301547434,0.0,0.8428184394586359,0.8136398351593028,1.0358618187537736,0.0016986740783996048,Ischaemia,Red,3
17,0.001761883773431323,1.5629888071739093,0.0,1.5612269261982175,0.6019472202642902,0.5627522272769487,1.0696487567485935,0.001761883773431323,Ischaemia,Red,3
