time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg
0.068,2.502241512,-0.077023523,2.448472564,0.007987353,29.99410597,47.00016678
0.0685,2.502241512,-0.07965442,2.44781484,-0.001878512,29.76717482,46.88090866
0.069,2.502241512,-0.075872505,2.448801426,0.015551184,29.98519506,46.70943804
0.0695,2.502077081,-0.079161127,2.448143702,0.008809509,30.00836342,46.59017992
0.07,2.502241512,-0.075379212,2.449294719,0.023279445,30.11470027,46.42820248
0.0705,2.502570374,-0.072255021,2.448472564,0.013084717,29.93707615,46.38429651
0.071,2.502405943,-0.075379212,2.448143702,0.004205438,29.98816536,46.0176223
0.0715,2.502570374,-0.069624123,2.449130288,0.01949753,30.01549215,46.08170128
0.072,2.502405943,-0.073734901,2.448472564,0.011604837,30.01489809,45.9458301
0.0725,2.502570374,-0.07061071,2.449294719,0.031994292,30.03747239,45.76308631
0.073,2.502899236,-0.068308674,2.448801426,0.018675374,29.83073931,45.62840177
0.0735,2.502734805,-0.069952985,2.448308133,0.014893459,29.98578912,45.50143045
0.074,2.502899236,-0.065020052,2.449130288,0.025745911,30.0404427,45.44981126
0.0745,2.502899236,-0.068144243,2.448636995,0.012591424,30.0101456,45.20951506
0.075,2.502899236,-0.061895861,2.449294719,0.03462519,29.89608597,45.06118406
0.0755,2.503228098,-0.056634066,2.448801426,0.017195494,30.30301748,44.89920662
0.076,2.503228098,-0.059100533,2.448308133,0.006671905,29.89430379,45.1240764
0.0765,2.503392529,-0.054825324,2.449130288,0.026074773,29.86578888,44.66721695
0.077,2.503063667,-0.059758257,2.448308133,0.011111544,30.02559118,44.62865089
0.0775,2.503392529,-0.055318618,2.449294719,0.029856688,29.96440294,44.65001056
0.078,2.50355696,-0.05268772,2.448801426,0.020812978,29.96915542,44.47913325
0.0785,2.503392529,-0.055811911,2.448308133,0.004698732,29.66440234,44.47972658
0.079,2.503392529,-0.053016582,2.448801426,0.020648547,29.63410525,44.64407732
0.0795,2.503392529,-0.057620653,2.448308133,0.007000767,29.95430391,44.31122257
0.08,2.503392529,-0.056140773,2.449130288,0.025745911,29.88479882,44.00091414
0.0805,2.50355696,-0.055483049,2.448472564,0.010947113,29.94598706,44.16704485
0.081,2.502734805,-0.063046879,2.447979271,9.47E-05,29.91628403,43.88936923
0.0815,2.502899236,-0.060909275,2.448636995,0.018346512,29.96974948,43.61110029
0.082,2.502734805,-0.06617107,2.447979271,0.002232265,29.94064052,43.63957984
0.0825,2.502899236,-0.068308674,2.448801426,0.01949753,29.80994719,43.52506832
0.083,2.502570374,-0.066828794,2.448308133,0.010782682,29.98400694,43.76655117
0.0835,2.502405943,-0.072419452,2.44781484,-0.005002703,29.89965033,43.566601
0.084,2.502734805,-0.070775141,2.448636995,0.010289389,29.95905639,43.48412897
0.0845,2.502405943,-0.076036936,2.447650409,-0.001056356,29.79628379,43.52862826
0.085,2.502405943,-0.074392625,2.448636995,0.018346512,30.02796742,43.72383185
0.0855,2.502241512,-0.073406038,2.448143702,0.005027594,29.77014513,43.11923473
0.086,2.501583788,-0.080312145,2.447979271,-0.004180547,30.09687845,43.29723192
0.0865,2.502077081,-0.080641007,2.448636995,0.012920286,29.74697676,43.23374625
0.087,2.50191265,-0.084258491,2.448143702,-0.000234201,29.90677906,43.25569924
0.0875,2.502241512,-0.078503402,2.448965857,0.023608307,29.94895736,43.08422861
0.088,2.502241512,-0.07521478,2.448308133,0.009960527,29.97271979,42.97268371
0.0885,2.502241512,-0.07817454,2.448143702,9.47E-05,30.08499724,42.78875328
0.089,2.502241512,-0.07669466,2.448801426,0.018182081,30.05113579,43.1038083
