Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_sAmplitudeles
IR,15,Width_Ratio,Normal vs Congestion,0.532410868,0.382671301,0.675461812,68
IR,15,Width_Ratio,Ischaemia vs Congestion,0.577194363,0.464564543,0.704640747,90
IR,21,RiseTime,Normal vs Ischaemia,0.520142377,0.421186683,0.62422081,119
IR,21,RiseTime,Normal vs Congestion,0.466809461,0.369051491,0.576756599,111
IR,21,RiseTime,Ischaemia vs Congestion,0.439610575,0.322433036,0.562049091,124
IR,21,FallTime,Normal vs Ischaemia,0.570518443,0.46203414,0.669839786,119
IR,21,FallTime,Normal vs Congestion,0.507412525,0.412791581,0.596606583,111
IR,21,FallTime,Ischaemia vs Congestion,0.437402072,0.362997027,0.526265033,124
IR,21,PulseWidth,Normal vs Ischaemia,0.544159798,0.434560606,0.664169041,119
IR,21,PulseWidth,Normal vs Congestion,0.514226268,0.405887032,0.629039881,110
IR,21,PulseWidth,Ischaemia vs Congestion,0.481100357,0.367081076,0.587096932,123
IR,21,SystolicWidth,Normal vs Ischaemia,0.601800225,0.502432151,0.689573503,119
IR,21,SystolicWidth,Normal vs Congestion,0.391148056,0.281805088,0.513542665,110
IR,21,SystolicWidth,Ischaemia vs Congestion,0.310337504,0.212368126,0.402764359,123
IR,21,DiastolicWidth,Normal vs Ischaemia,0.581520031,0.479786232,0.683848439,119
IR,21,DiastolicWidth,Normal vs Congestion,0.539765333,0.429867929,0.653666501,110
IR,21,DiastolicWidth,Ischaemia vs Congestion,0.449037779,0.33782982,0.563494112,123
IR,21,RiseTime,Normal vs Ischaemia,0.526219834,0.426652011,0.631732146,119
IR,21,RiseTime,Normal vs Congestion,0.503559064,0.411616613,0.615408073,111
IR,21,RiseTime,Ischaemia vs Congestion,0.439610575,0.322433036,0.562049091,124
IR,21,FallTime,Normal vs Ischaemia,0.652187789,0.548234706,0.752323855,119
IR,21,FallTime,Normal vs Congestion,0.668848354,0.563520689,0.764215299,111
IR,21,FallTime,Ischaemia vs Congestion,0.437402072,0.362997027,0.526265033,124
IR,21,PulseWidth,Normal vs Ischaemia,0.586564287,0.480573232,0.701626195,119
IR,21,PulseWidth,Normal vs Congestion,0.560700208,0.457380722,0.671154316,110
IR,21,PulseWidth,Ischaemia vs Congestion,0.481100357,0.367081076,0.587096932,123
IR,21,SystolicWidth,Normal vs Ischaemia,0.646199626,0.548944128,0.739418765,119
IR,21,SystolicWidth,Normal vs Congestion,0.441902629,0.339326852,0.560424801,110
IR,21,SystolicWidth,Ischaemia vs Congestion,0.310337504,0.212368126,0.402764359,123
IR,21,DiastolicWidth,Normal vs Ischaemia,0.61021966,0.513290666,0.714437301,119
IR,21,DiastolicWidth,Normal vs Congestion,0.575810874,0.465534061,0.684727354,110
IR,21,DiastolicWidth,Ischaemia vs Congestion,0.449037779,0.33782982,0.563494112,123
