State,PI_Ratio,Amplitude_Ratio,Delta_A_Ratio,Red_Datum_Area_Ratio,Red_Rise_Decay_Ratio,Red_Skewness,Red_Kurtosis,Red_Variance,Red_b_a,Red_c_a,Red_d_a,Red_e_a,IR_Datum_Area_Ratio,IR_Rise_Decay_Ratio,IR_Skewness,IR_Kurtosis,IR_Variance,IR_b_a,IR_c_a,IR_d_a,IR_e_a
Ischaemia,0.39511903019179834,0.5694277136424005,0.39493689868462634,-2.8859869043862245,0.4444444444444073,-0.6116428675405505,-0.6343676713267037,0.08417861049010258,-0.7855233496937942,0.2525822444627418,-0.4055914305723431,0.46504610338431995,-0.6548345320214591,0.17625681405207896,-0.18041494400130553,-1.3811619558731794,0.10401912012306198,-0.9542791958969129,0.301953773426769,-0.25361083948440344,0.20896934021662064
Ischaemia,0.41159960040014393,0.5931623478502638,0.41141205166467565,0.9076388705717782,0.4036958066808526,-0.11140849621667753,-1.5488771262915193,0.12208351088807118,-0.5638869403509877,0.9612639318348871,-0.8979994451996411,0.8660584320429886,-0.6189077529310784,0.18875992669516256,-0.19279641802878383,-1.3364759338060757,0.09949170523543505,-0.9890314984965171,0.26377695925876915,-0.2372470273313932,0.24779810265290286
Ischaemia,0.45170429096440573,0.650897673112395,0.4515119335595499,-0.5449327503870514,0.2646887725421603,0.10467379144073828,-1.1702444901197173,0.08131439405363891,-0.31170764067776496,0.6311508617259008,-0.4594840043459093,0.5060004809616393,-0.6051124069350883,0.18044659022328421,-0.18130732458285048,-1.37938872706215,0.10027070323428607,-0.9782201423692306,0.3008273669863187,-0.2817088170531322,0.18363670929488565
Ischaemia,0.4177731734984851,0.6019807631489034,0.417592099752217,-2.7746869468073276,0.295315682281039,-0.3478085020857227,-0.9832344018480264,0.07709022164315944,-0.7321001893940509,0.444034975020403,-0.19933410883123373,0.5478325121449513,-0.6407500483782494,0.18110236220471343,-0.1719127307284708,-1.370349703181274,0.10759376714898447,-1.0129206556006929,0.3079721792185443,-0.31366988994007566,0.19936073417643582
Ischaemia,0.4302214049339211,0.6199167155241535,0.43003348812626635,-1.0288530599896792,0.6227848101265298,-0.2859579661307234,-1.1543861757576266,0.0789203931622611,-0.8882903804338016,0.44900584290320805,-0.48063490893961996,0.5530069785736899,-0.6708422084346972,0.19193154034228654,-0.16333573609809798,-1.3174936834872084,0.09968238951316967,-0.9269269686828345,0.22755596974970396,-0.21654219761037344,0.2862924691197829
Ischaemia,0.4180147641159499,0.6022087275003319,0.417824964548029,-0.8841067494391912,0.3371161548731417,-0.25724435496399356,-1.3676249288955138,0.0905786499147699,-0.9195276934710842,0.6066693712002265,-0.6561842271285844,0.4270821610543396,-0.6345353286044195,0.18963414634145184,-0.17290226955278135,-1.3224846307775795,0.0976410481244824,-0.9502106407012386,0.25658209994857517,-0.17729841570585256,0.20617632416697917
Ischaemia,0.4730226801713429,0.6815638467759885,0.4728330466580634,-1.5782015048689146,0.16235294117646104,-0.07666929567684205,-1.2645412589328506,0.07579016516956535,-1.059153239915952,0.40582381364086095,-0.27889731447428545,0.3508283057037173,-0.6081676507748437,0.19088145896655373,-0.19936442000468915,-1.3434751641053364,0.1010483631536621,-0.9732392324266796,0.24995729576516845,-0.214451010986312,0.17535317455637164
Ischaemia,0.4568683005314352,0.6582794797845579,0.45667712644389885,-3.06992187707678,0.46826758147508846,-0.2500396173199259,-0.6640674053115339,0.06866828485916027,-0.9597682853428178,0.6719731604554843,-0.6512475626909289,0.39182704858702266,-0.63449573687563,0.1797955502104522,-0.1664487261538952,-1.36478723030958,0.1001421513634811,-1.0644598538842465,0.33598547238932097,-0.34173806586341654,0.20090829989144518
Ischaemia,0.4153292068762255,0.5983365188331504,0.41514595724002534,-0.43776754798325596,0.29104919976287547,0.04747879342485794,-1.1801029154325395,0.08419131221569423,-0.42486811106774214,0.443414428322975,-0.8190312862874576,0.7287152703665133,-0.661094244566537,0.17678893565843795,-0.16318327610876568,-1.3765858733822465,0.10253104672510349,-1.0579625711293255,0.36107107908412023,-0.29304892688674217,0.25415771689824274
Ischaemia,0.39451281127368665,0.5683326455598633,0.39432807085216426,-1.10368251614526,0.25996080992813453,-0.47936983900044183,-1.1493869124173095,0.08555142931685501,-0.6913753876692514,0.3975971328529692,-0.40372390260773944,0.4275438962817018,-0.6822472131645745,0.1810975609755987,-0.17747108016432364,-1.3368617432540781,0.09818917893830593,-1.073722852596813,0.23889178862861501,-0.2556285487233968,0.17385824860127963
Ischaemia,0.433259810583582,0.6241870206878136,0.43307783816877976,-1.8914197616569404,0.1554878048780393,-0.3047701527931371,-1.0034492323565292,0.08289278254464555,-1.1534489309403806,0.7523506376785754,-0.539345323778906,0.297780085146545,-0.5971488653274417,0.18810679611649345,-0.20161327268127535,-1.342663118910247,0.10473236913492405,-1.0490471869009763,0.332924082887887,-0.26629893376680497,0.20879057154383376
Ischaemia,0.41001254665513603,0.5907196691171277,0.4098274536552825,-0.9783796688204204,0.23936816524907414,-0.15501483846555833,-1.42166585580156,0.09807705176299421,-0.6658949322640717,0.39009554097470556,-0.4556521109010548,0.4566895876582713,-0.6204832961643185,0.19177253478522735,-0.12346720856395023,-1.3632833561530964,0.10048238747710107,-0.9959527963905869,0.23889939327789053,-0.21873191923124427,0.19960053129394575
Ischaemia,0.4358687106993417,0.6279224373802367,0.4356823915161269,-2.2493427066373393,0.3289655172413566,0.12352635879147703,-1.5598515962363444,0.09940133471532547,-0.9119096242367872,0.32032376274038393,-0.3423133508064732,0.3480335936188637,-0.7020279680024736,0.18004866180047566,-0.144992601263619,-1.309264836801323,0.10010888139540675,-1.0566356524986427,0.3149892939823449,-0.24073114949168264,0.22374916795059813
Ischaemia,0.4460721709959351,0.6426659701698856,0.4458852589529853,-1.6003396695794068,0.20374999999998725,-0.37092797223633944,-0.902825228923231,0.08075799471427725,-0.9145571434489096,0.24783957625308867,-0.3245644363079011,0.1995323044580633,-0.6097414741405549,0.19536019536018343,-0.1537506011637853,-1.358450791337083,0.10138447586332275,-1.0173267280435265,0.21791661759510172,-0.238894017376349,0.2612813019333803
