time,ppgA_Red_raw,ppgA_Red,ppgA_IR_raw,ppgA_IR,p1_mmhg,p2_mmhg,Red_processed,IR_processed
2.854,1.90305488419891,-0.080147713475966,2.42019042631369,0.0244304623456803,29.72663613,79.30305668,2.9801245148101764e-05,9.702725243919103e-05
2.8545000000000003,1.90305488419891,-0.0778456780685206,2.42068371940459,0.0188398053562661,29.4420811,79.22592456,3.153479478364421e-05,9.682430641374759e-05
2.855,1.9032193152022,-0.0799832823752959,2.42035485734398,0.0073296291288103,29.24782329,78.96248872,3.329189603505043e-05,9.653624723516738e-05
2.8555,1.9035481772088,-0.0743926249651623,2.42084815043492,0.0262392043079159,29.33990268,78.9494356,3.507249253225675e-05,9.632762195591918e-05
2.856,1.9035481772088,-0.0707751407716762,2.42051928837428,0.0147290281434458,29.24247674,78.84026399,3.682725528694271e-05,9.603411517861011e-05
2.8565,1.9033837462055,-0.0737349005655837,2.42035485734398,0.0287056706161813,29.46287322,79.05801388,3.857239241792473e-05,9.575426666555081e-05
2.857,1.9035481772088,-0.0712684340701843,2.42084815043492,0.0209774095019983,29.2537639,78.95655548,4.035688052865871e-05,9.55373451412573e-05
2.8575,1.9033837462055,-0.0743926249651623,2.42035485734398,0.0112759752750072,29.40881371,78.86874354,4.211465252638789e-05,9.521903431375875e-05
2.858,1.9033837462055,-0.0730771761663444,2.42101258146525,0.0295278260512776,29.59000219,78.96545534,4.389468373646004e-05,9.501315047613282e-05
2.8585000000000003,1.9035481772088,-0.0725838828671375,2.42051928837428,0.0185109431797002,29.41237807,79.06394712,4.569667796853651e-05,9.468960491153186e-05
2.859,1.9032193152022,-0.0748859182650689,2.42084815043492,0.0323231545268993,29.3577245,79.0040214,4.7454565780257724e-05,9.444571289530883e-05
2.8595,1.9032193152022,-0.0734060383659217,2.4211770124956,0.0262392043079159,29.2822788,79.06276047,4.9250088838367724e-05,9.419943352338158e-05
2.86,1.9032193152022,-0.0752147804651127,2.42068371940459,0.0181820810030544,29.37317007,78.98562836,5.104994418008312e-05,9.386872725749654e-05
2.8605,1.9035481772088,-0.0724194517674442,2.42150587455634,0.0341318964786652,29.36663541,79.14582583,5.2886833784083736e-05,9.366741522675686e-05
2.861,1.9035481772088,-0.0715972962692955,2.4211770124956,0.0224572892932233,29.46049698,78.91086954,5.469491678591845e-05,9.334914865410605e-05
2.8615,1.9035481772088,-0.0702818474733585,2.4211770124956,0.0364339316865452,29.30128874,78.85272379,5.6506893102917946e-05,9.306198225083237e-05
2.862,1.90371260821211,-0.066828794390463,2.4211770124956,0.0351184829968021,29.28465505,79.24313096,5.833896091085971e-05,9.277292451118934e-05
2.8625000000000003,1.9035481772088,-0.0684731053811557,2.42068371940459,0.0186753742679931,29.31435808,78.83551739,6.014154626753086e-05,9.243248553423346e-05
2.863,1.90371260821211,-0.0646911901057179,2.42134144352596,0.0365983627726743,29.35178389,78.86815021,6.198011883489554e-05,9.2204997004434e-05
2.8635,1.90404147021874,-0.0607448437432373,2.42101258146525,0.024266031258085,29.32208086,79.05920053,6.383810930807998e-05,9.187689458441395e-05
2.864,1.90371260821211,-0.0625535858245355,2.42101258146525,0.0370916560309432,29.58881407,79.19091845,6.563317734033918e-05,9.15797459832541e-05
2.8645,1.90387703921542,-0.0597582571545109,2.4211770124956,0.029363394964298,29.53950704,79.2888169,6.748006732182246e-05,9.129707517250536e-05
2.865,1.90387703921542,-0.0638690346125341,2.42068371940459,0.0175243566495231,29.28524911,79.0188545,6.931271011040675e-05,9.094663630094037e-05
2.8655,1.90371260821211,-0.0612381370378843,2.42134144352596,0.0334741721328453,29.2371302,79.11912625,7.113081091149308e-05,9.070927550224915e-05
2.866,1.90404147021874,-0.0612381370378843,2.42084815043492,0.022128427117535,29.42128898,79.06691374,7.29998493094388e-05,9.035493937949777e-05
