Channel,Depth,Feature,Pair,AUC_bootstrap_mean,CI_lower,CI_upper,n_samples
IR,3,FallTime_norm_bpm,Ischaemia vs Congestion,0.9684993384696631,0.8999624060150376,1.0,66
IR,3,PulseWidth_norm_bpm,Normal vs Ischaemia,0.13178109594020493,0.04445906945906946,0.2268959744458129,64
IR,3,PulseWidth_norm_bpm,Normal vs Congestion,0.20156335140792997,0.09208397337429595,0.3235679420325006,66
IR,3,PulseWidth_norm_bpm,Ischaemia vs Congestion,0.6232894947587139,0.48647188071530173,0.7603535353535353,66
IR,3,SystolicWidth_norm_bpm,Normal vs Ischaemia,0.8108169566383819,0.677768817204301,0.9177393583428066,64
IR,3,SystolicWidth_norm_bpm,Normal vs Congestion,0.07647067172248673,0.005416666666666672,0.16707321912504847,66
IR,3,SystolicWidth_norm_bpm,Ischaemia vs Congestion,0.061034214649930876,0.0008953168044077132,0.14710598141695708,66
IR,3,DiastolicWidth_norm_bpm,Normal vs Ischaemia,0.11890360883519936,0.030858488132094943,0.21819117052801734,64
IR,3,DiastolicWidth_norm_bpm,Normal vs Congestion,0.42288271611099154,0.2936341463414634,0.579436981866449,66
IR,3,DiastolicWidth_norm_bpm,Ischaemia vs Congestion,0.8328043938222665,0.6979824220772497,0.9363424796747969,66
IR,3,RiseFall_ratio,Normal vs Ischaemia,0.18156005338830478,0.05900246305418721,0.31476834282099936,64
IR,3,RiseFall_ratio,Normal vs Congestion,0.9317391159370659,0.8431309326567948,1.0,66
IR,3,RiseFall_ratio,Ischaemia vs Congestion,0.922499885427855,0.8276851851851852,1.0,66
IR,3,Width_Ratio,Normal vs Ischaemia,0.12910333693088966,0.023544383270549602,0.24825913373161768,64
IR,3,Width_Ratio,Normal vs Congestion,0.8647565240304005,0.7306730011003117,0.9609392347745046,66
IR,3,Width_Ratio,Ischaemia vs Congestion,0.9160426104425651,0.8185059232026145,0.9890017583120205,66
IR,9,RiseTime,Normal vs Ischaemia,0.8973355715377448,0.801470588235294,0.9647030573593075,72
IR,9,RiseTime,Normal vs Congestion,0.44090802059665024,0.2914467592592593,0.5635486348417382,66
IR,9,RiseTime,Ischaemia vs Congestion,0.0721844024241912,0.017763157894736842,0.13865985796251562,72
IR,9,FallTime,Normal vs Ischaemia,0.5927946543250018,0.5364060258249642,0.6586054287962234,72
IR,9,FallTime,Normal vs Congestion,0.5250143467915201,0.5126201923076923,0.5565476190476191,66
IR,9,FallTime,Ischaemia vs Congestion,0.42479138406145955,0.3636327873542665,0.4825710978835979,72
IR,9,PulseWidth,Normal vs Ischaemia,0.6319621535601463,0.4938991658287488,0.7533611578750468,72
IR,9,PulseWidth,Normal vs Congestion,0.4380691924729321,0.3042883294846865,0.5715633737185463,66
IR,9,PulseWidth,Ischaemia vs Congestion,0.33669774977401246,0.20261351909184724,0.47407576705161336,72
IR,9,SystolicWidth,Normal vs Ischaemia,0.8978513019529624,0.8196582476317373,0.963526181585806,72
IR,9,SystolicWidth,Normal vs Congestion,0.4859698174485901,0.3627928410947712,0.6212614889705883,66
IR,9,SystolicWidth,Ischaemia vs Congestion,0.0860768526721861,0.031615476858532415,0.1707818198350114,72
IR,9,DiastolicWidth,Normal vs Ischaemia,0.5356763771335844,0.3941143890990493,0.6771013435194089,72
IR,9,DiastolicWidth,Normal vs Congestion,0.42085503152919385,0.28843298645857046,0.5592973281061056,66
IR,9,DiastolicWidth,Ischaemia vs Congestion,0.41820214056088145,0.26498645510835916,0.5684178276573788,72
IR,9,RiseTime_norm_bpm,Normal vs Ischaemia,0.8784517439371069,0.7781184694272445,0.9480604488416989,72
IR,9,RiseTime_norm_bpm,Normal vs Congestion,0.44090802059665024,0.2914467592592593,0.5635486348417382,66
IR,9,RiseTime_norm_bpm,Ischaemia vs Congestion,0.09348009608802421,0.030678704755984235,0.17187138528423687,72
IR,9,FallTime_norm_bpm,Normal vs Ischaemia,0.18558930865000364,0.07281205164992822,0.3172108575924469,72
IR,9,FallTime_norm_bpm,Normal vs Congestion,0.5250143467915201,0.5126201923076923,0.5565476190476191,66
