Depth_mm,State,Channel,Processing,SNR_Welch_dB,Signal_Power,Noise_Power,SNR_FFT_dB,PI_Percent,DC_Component,AC_Component,mean,std,skewness,kurtosis,peak_to_peak,cv,rms,SNR_Improvement_dB,Artifacts_Count,Artifacts_Percent
15,Ischaemia,Red,Processed,10.708820401359702,1.4902104660805786e-08,1.265801392441652e-09,9.030457949782635,55.72359574041641,0.00027697615074618275,0.0001543410705391692,0.00027697615074618275,0.0001543410705391692,-0.26741142702665505,0.03948760667572371,0.0009143430077779084,0.5572357562186993,0.00031707562841907133,9.373842248763667,88.0,0.1437908496732026
15,Ischaemia,IR,Raw,11.004152985011025,2.5229621154247082e-08,2.0021445566860737e-09,11.7274873875933,0.021328158090955462,2.3422568496595177,0.000499560243791615,2.3422568496595177,0.000499560243791615,0.02402558517217885,-0.3736643540673734,0.003124189471829908,0.00021328158090044882,2.3422569029330162,,,
15,Ischaemia,IR,Processed,18.735166145729927,1.9049239556910502e-08,2.5489483116756274e-10,15.302248792231373,63.03922913270746,0.00028169638041968215,0.0001775792267113067,0.00028169638041968215,0.0001775792267113067,-0.1105508219417554,-1.293804309640479,0.0006618033457612494,0.6303920675428476,0.00033299734608692596,7.731013160718902,0.0,0.0
15,Congestion,Red,Raw,1.5098713827547325,3.066118590853433e-08,2.165717521412457e-08,2.9016813636720484,0.024022118157062303,2.5025431032071785,0.0006011638611838421,2.5025431032071785,0.0006011638611838421,0.06119072060578697,-0.3991495483267111,0.003946344877700181,0.00024022118156102396,2.502543175413324,,,
15,Congestion,Red,Processed,9.868446178435526,2.6174132794523213e-08,2.6979114024126227e-09,7.448605256550007,58.96446665143379,0.0003452157308810035,0.00020355461451083273,0.0003452157308810035,0.00020355461451083273,0.09753840693959756,-0.11997074881001879,0.0012845714417569108,0.5896444957096952,0.0004007597558841945,8.358574795680793,0.0,0.0
15,Congestion,IR,Raw,14.714967371061618,5.924116166307908e-08,2.0004459833876855e-09,14.965424981046102,0.027190575242572998,2.32877704146475,0.0006332078736912382,2.32877704146475,0.0006332078736912382,-0.00932088847136376,-0.3577108794861408,0.003946344574420113,0.00027190575241405404,2.32877712755118,,,
15,Congestion,IR,Processed,20.659824404847548,4.4938032498146064e-08,3.860393835937185e-10,17.113936237496713,62.22835098810846,0.0004399642512790102,0.0002737824985081059,0.0004399642512790102,0.0002737824985081059,-0.12564908325261348,-1.3061169258847227,0.0009692669051929327,0.6222833684415549,0.0005181943640110736,5.9448570337859294,0.0,0.0
21,Normal,Red,Raw,3.420352327212955,1.7571345374911023e-08,7.994103787677448e-09,4.350558553316924,0.020100750806001638,1.905969329077051,0.00038311414527659934,1.905969329077051,0.00038311414527659934,-0.06486877006826058,0.07928084615047393,0.0034530510707899698,0.00020100750804947018,1.9059693675814604,,,
21,Normal,Red,Processed,12.77987288872351,1.4839797157478384e-08,7.82421319814545e-10,10.418725224711753,58.32409118960814,0.00027014235632014664,0.00015755807424191847,0.00027014235632014664,0.00015755807424191847,0.048214713516356186,-0.3587235049082689,0.0009091996321752979,0.5832406959948419,0.0003127322168197945,9.359520561510555,0.0,0.0
21,Normal,IR,Raw,11.173828051423744,2.837289303710097e-08,2.165313659995541e-09,11.981604570942764,0.023800537088808263,2.4259090238371908,0.0005773793769591171,2.4259090238371908,0.0005773793769591171,0.17437809661070827,-0.2509980234808884,0.0037819137063599406,0.00023800537087827165,2.4259090925468856,,,
