Channel,State,Feature,Pressure,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p
Red,Congestion,End_Datum_Area,p1_mmhg,24,0.3304906090878972,0.11471971943814813,0.044588220776901874,0.5977526796897692,0.39739130434782605,0.05448920414427138
Red,Normal,Datum_Area_Ratio,p2_mmhg,24,-0.16252753952757,0.44798388165597963,-0.5884127111975392,0.208412495265223,-0.3173913043478261,0.13071808560327577
Red,Ischaemia,Datum_Area_Ratio,p2_mmhg,24,0.24355281095483725,0.2514484768137566,-0.0974448701169187,0.5691423840181578,0.3313043478260869,0.11377549347480266
Red,Congestion,Datum_Area_Ratio,p2_mmhg,24,-0.07740167883064272,0.7192309969854641,-0.4015072473057548,0.27514514764764186,-0.027826086956521737,0.8973048186218164
Red,Normal,Datum_Area_Ratio,p1_mmhg,24,-0.6181654320113132,0.001284879550258932,-0.8081473884425445,-0.09712083561779188,-0.3678260869565217,0.07699887080183039
Red,Ischaemia,Datum_Area_Ratio,p1_mmhg,24,-0.21873321711445337,0.30448279667450595,-0.5230542647539497,0.13383308963625026,-0.20956521739130432,0.3256961715714217
Red,Congestion,Datum_Area_Ratio,p1_mmhg,24,-0.28357464995507486,0.17932916794905615,-0.5598717275244613,0.04351391160179163,-0.3104347826086956,0.13984001582896138
Red,Normal,Max_Start_Datum_Diff,p2_mmhg,24,-0.21087938109174864,0.3226018355571612,-0.5680539779300993,0.23239251458511379,-0.07913043478260869,0.7132155791016112
Red,Ischaemia,Max_Start_Datum_Diff,p2_mmhg,24,0.16465255450863867,0.4419891329914667,-0.17070784041723144,0.5620465842786158,0.2617391304347826,0.21665169795328632
Red,Congestion,Max_Start_Datum_Diff,p2_mmhg,24,-0.14529074898649447,0.49816016230044824,-0.5149997228122394,0.2916055676520295,-0.1208695652173913,0.5737097351958667
Red,Normal,Max_Start_Datum_Diff,p1_mmhg,24,0.1750857725559721,0.4131849375113136,-0.242263889517953,0.498369898227409,-0.0634782608695652,0.768242407223753
Red,Ischaemia,Max_Start_Datum_Diff,p1_mmhg,24,-0.19322596652588608,0.36565413698181404,-0.48428501575051525,0.18179686975613787,-0.2695652173913043,0.20272227336292598
Red,Congestion,Max_Start_Datum_Diff,p1_mmhg,24,0.4498566580848131,0.027409323997917096,0.19189316285798014,0.6918484512366665,0.5182608695652173,0.009476192167472693
IR,Normal,Amplitude,p2_mmhg,24,0.24424012053124972,0.2500711868830008,-0.13606856877580212,0.602297571867151,0.33391304347826084,0.11078683255713417
IR,Ischaemia,Amplitude,p2_mmhg,24,0.2988700603966755,0.15599720246903928,-0.13530812691909563,0.6549803701263932,0.3095652173913043,0.1410114671131046
IR,Congestion,Amplitude,p2_mmhg,24,-0.0037480741920882243,0.986132257298781,-0.4101289581684738,0.3539113064682568,-0.023478260869565212,0.9132865779270147
IR,Normal,Amplitude,p1_mmhg,24,-0.0895296438186431,0.6773903919670772,-0.4890146626729853,0.2804835673282175,-0.24695652173913044,0.244675845945762
IR,Ischaemia,Amplitude,p1_mmhg,24,-0.35632269699259533,0.08744239226905647,-0.6868583514399427,0.03650735891427602,-0.3504347826086956,0.09318217165981718
IR,Congestion,Amplitude,p1_mmhg,24,-0.8758073585151347,2.0804913329648397e-08,-0.9428760955522073,-0.7967036485928897,-0.9034782608695651,1.4852231299153265e-09
IR,Normal,AUC,p2_mmhg,24,-0.03217073360272473,0.8813733551958376,-0.4153072465575713,0.35043186584221286,-0.04,0.8527804394339904
IR,Ischaemia,AUC,p2_mmhg,24,0.3052633770748702,0.14691003029450578,-0.1712370406795416,0.6724889262353277,0.2826086956521739,0.18087936831931142
IR,Congestion,AUC,p2_mmhg,24,-0.0822342467813588,0.7024572006226653,-0.48396801756831426,0.32255201593047456,-0.09652173913043478,0.6536731719946905
