PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Systolic_Width,Diastolic_Width,Delta_T,Upslope,Downslope,DNP,RWI,State,Channel
0.2467877558920259,0.1645,0.802,0.9665,0.519,0.1645,0.802,0.081,2.4382549402465455e-05,-3.789275963047695e-06,0.010353708944878791,0.9999999777677748,Normal,IR
0.24132943636168083,0.161,0.801,0.962,0.517,0.161,0.801,0.0765,2.457293031681777e-05,-3.890289185361575e-06,0.009888540100406332,0.999999977265795,Normal,IR
0.2388040620750835,0.1625,0.7995,0.962,0.5255,0.1625,0.7995,0.08,2.356467323603095e-05,-4.4395891865743825e-06,0.00010787636064234984,0.999999977026191,Normal,IR
0.24164587866702228,0.1675,0.8,0.9675,0.521,0.1675,0.8,0.081,2.3616566964217937e-05,-3.7316565817730905e-06,0.00033138116210097837,0.9999999772970576,Normal,IR
0.23970906063866568,0.163,0.8005,0.9635,0.52,0.163,0.8005,0.0,2.4266380921096316e-05,-4.179361617277994e-06,0.014501691208775739,0.9999999771138043,Normal,IR
0.24158829224063116,0.162,0.8055,0.9675,0.5165,0.162,0.8055,0.0,2.4201176388941384e-05,-3.5903090967710034e-06,0.00016281083495982962,0.9999999772931385,Normal,IR
0.23914317563996823,0.16,0.8025,0.9625,0.5185,0.16,0.8025,0.0805,2.423797360941735e-05,-4.105868333896366e-06,0.0003351122448060278,0.9999999770609203,Normal,IR
0.24446248493901804,0.163,0.8015,0.9645,0.516,0.163,0.8015,0.081,2.463583703395415e-05,-3.7198206765112415e-06,0.010971596039988277,0.9999999775605669,Normal,IR
0.24051904757887516,0.1625,0.804,0.9665,0.53,0.1625,0.804,0.0795,2.4169229809456938e-05,-3.77494041602219e-06,0.00021687203025134047,0.9999999771930995,Normal,IR
0.24269382424940245,0.163,0.805,0.968,0.5235,0.163,0.805,0.08,2.4294628814123826e-05,-4.548934041460873e-06,0.00028808736759831477,0.9999999773956518,Normal,IR
0.24436163902094754,0.156,0.8085,0.9645,0.5195,0.156,0.8085,0.0,2.525885087558766e-05,-4.667951832846022e-06,0.013385651861780508,0.9999999775483175,Normal,IR
0.2424853781084354,0.159,0.8,0.959,0.503,0.159,0.8,0.078,2.4862720283242833e-05,-4.273439134065324e-06,0.0020990909270512683,0.9999999773718034,Normal,IR
0.23873766386082368,0.1655,0.7995,0.965,0.5245,0.1655,0.7995,0.081,2.3545918482377427e-05,-4.049844986495923e-06,2.825096563919547e-05,0.9999999770102524,Normal,IR
0.24065063411958962,0.167,0.797,0.964,0.5165,0.167,0.797,0.0,2.389783495502975e-05,-4.215144997653871e-06,0.00026146118856014243,0.9999999771923535,Normal,IR
0.24060437370250748,0.162,0.804,0.966,0.5175,0.162,0.804,0.0785,2.4251383256659355e-05,-4.012177852259356e-06,0.0064128339850292315,0.9999999771877843,Normal,IR
0.23962408060177498,0.1645,0.8005,0.965,0.525,0.1645,0.8005,0.0775,2.3856932662826794e-05,-3.7470150706876617e-06,0.0010620464991094568,0.9999999770944241,Normal,IR
0.2388798540144971,0.165,0.796,0.961,0.5135,0.165,0.796,0.0775,2.364634382557001e-05,-4.582019107621563e-06,0.00017275659257025403,0.9999999770233248,Normal,IR
0.2392041728574019,0.1685,0.7955,0.964,0.5195,0.1685,0.7955,0.0815,2.3223741771811676e-05,-4.416044224637224e-06,0.013212846624707128,0.9999999770545147,Normal,IR
0.24120895550745247,0.164,0.797,0.961,0.5175,0.164,0.797,0.081,2.383379792163286e-05,-4.376629361235165e-06,0.00021789337373594197,0.9999999772456416,Normal,IR
0.23555422501306855,0.1705,0.802,0.9725,0.5515,0.1705,0.802,0.081,2.2873746923574283e-05,-3.8540440185541765e-06,0.007917484691737057,0.9999999766994945,Normal,IR
0.2279385118415851,0.157,0.807,0.964,0.5775,0.157,0.807,0.0,2.3383638570906307e-05,-3.4031104813408942e-06,0.1586783731950943,0.999999975921685,Normal,IR
0.07434591009700818,0.1635,0.819,0.9825,0.612,0.1635,0.819,0.09,1.0728616764896421e-05,-2.744458239824774e-06,0.8784309745320655,0.9999999489859359,Ischaemia,Red
0.06469328858801096,0.2305,0.768,0.9985,0.7105,0.2305,0.768,0.0,8.739829748309895e-06,-5.096367191756391e-06,0.0007825562855402363,0.999999941373648,Ischaemia,Red
0.07464453661420675,0.1385,0.8215,0.96,0.6465,0.1385,0.8215,0.0555,1.2320411272793942e-05,-5.66563897737437e-06,0.37354197159464697,0.999999949193617,Ischaemia,Red
0.07318885849635043,0.2665,0.731,0.9975,0.475,0.2665,0.731,0.0605,8.1459272172447e-06,-5.220296625961431e-06,0.7333019226164548,0.9999999481806925,Ischaemia,Red
0.06211326854635875,0.1465,0.718,0.8645,0.531,0.1465,0.718,0.0645,9.784343717082777e-06,-5.599944118474059e-06,0.02030552552776187,0.9999999389442942,Ischaemia,Red
0.06498581592206981,0.2585,0.8215,1.08,0.582,0.2585,0.8215,0.0285,1.0393838050907892e-05,-5.484908469625797e-06,0.0037099889464390187,0.9999999416434864,Ischaemia,Red
