PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Upslope,Downslope,Delta_T,RWI,DNP,State,Channel
0.24446248493901804,0.163,0.8015,0.9645,0.516,11.056284380291004,-1.6694133504176136,0.081,0.9149289555269795,0.010971596039988277,Normal,IR
0.24051904757887516,0.1625,0.804,0.9665,0.53,11.024504406730443,-1.7218938120774965,0.0795,0.9229327265056063,0.00021687203025134047,Normal,IR
0.24269382424940245,0.163,0.805,0.968,0.5235,10.983284997556439,-2.0565137831373193,0.08,0.9296986368625518,0.00028808736759831477,Normal,IR
0.24436163902094754,0.156,0.8085,0.9645,0.5195,11.342074076418442,-2.0960674630081257,0.0,0.9229266475454504,0.013385651861780508,Normal,IR
0.2424853781084354,0.159,0.8,0.959,0.503,11.25197051290968,-1.9340044282131714,0.078,0.9135881694115549,0.0020990909270512683,Normal,IR
0.23873766386082368,0.1655,0.7995,0.965,0.5245,10.826294491443605,-1.8620982868565932,0.081,0.9179640838743313,2.825096563919547e-05,Normal,IR
0.24065063411958962,0.167,0.797,0.964,0.5165,10.90106748843607,-1.9227507504105006,0.0,0.9338488445628065,0.00026146118856014243,Normal,IR
0.24060437370250748,0.162,0.804,0.966,0.5175,11.06455573033304,-1.830533333975609,0.0785,0.9337280253600584,0.0064128339850292315,Normal,IR
0.23962408060177498,0.1645,0.8005,0.965,0.525,10.929135647237501,-1.7165507636108543,0.0775,0.9217750993091988,0.0010620464991094568,Normal,IR
0.2388798540144971,0.165,0.796,0.961,0.5135,10.866287290097944,-2.105591306605902,0.0775,0.9261680219768599,0.00017275659257025403,Normal,IR
0.2392041728574019,0.1685,0.7955,0.964,0.5195,10.657600569428098,-2.0265655683546697,0.0815,0.9338547057227703,0.013212846624707128,Normal,IR
0.24120895550745247,0.164,0.797,0.961,0.5175,10.846455664465509,-1.9917478734409997,0.081,0.9225131459153463,0.00021789337373594197,Normal,IR
0.23555422501306855,0.1705,0.802,0.9725,0.5515,10.659397359574484,-1.7960234837048148,0.081,0.9247026949447458,0.007917484691737057,Normal,IR
0.2279385118415851,0.157,0.807,0.964,0.5775,11.260772346182023,-1.638823328674107,0.0,0.8922357248297162,0.1586783731950943,Normal,IR
0.07434591009700818,0.1635,0.819,0.9825,0.612,10.946206856683943,-2.8001193686912984,0.09,0.9763413715153327,0.7590952668540426,Ischaemia,Red
0.06469328858801096,0.2305,0.768,0.9985,0.7105,10.24768670841297,-5.975628340157726,0.0,0.9591108294400384,0.0007825562855402363,Ischaemia,Red
0.07464453661420675,0.1385,0.8215,0.96,0.6465,12.51911067088082,-5.757012473733653,0.0555,0.9222612252863338,0.37354197159464697,Ischaemia,Red
0.07318885849635043,0.2665,0.731,0.9975,0.475,8.442326152056467,-5.41024312536797,0.0605,0.8656878906985442,0.08305709498309168,Ischaemia,Red
0.06211326854635875,0.1465,0.718,0.8645,0.531,11.94780023637037,-6.838170816255172,0.0645,0.9548334652987741,0.02030552552776187,Ischaemia,Red
0.06498581592206981,0.2585,0.8215,1.08,0.582,12.130963041854272,-6.401602719524078,0.0285,0.8749330608952652,0.0037099889464390187,Ischaemia,Red
0.0651713838082579,0.1275,0.7515,0.879,0.5485,12.661018284500358,-5.2036149069138276,0.06,0.926259931568597,0.0015764412884136,Ischaemia,Red
0.06734323465229346,0.2405,0.8315,1.072,0.5905,11.253185093187085,-6.866597198967099,0.035,0.980235547543119,0.037064076051377896,Ischaemia,Red
0.06987273912516577,0.23,0.7145,0.9445,0.4225,11.478653644162307,-4.408971708822037,0.0535,0.878202963965096,0.4678445033073452,Ischaemia,Red
0.07239696257139733,0.232,0.779,1.011,0.5315,8.590050769274058,-4.86161243795766,0.0565,0.7231847861914011,0.06175519228829961,Ischaemia,Red
0.06695978012613597,0.1235,0.8475,0.971,0.6175,12.764590682937637,-5.988553372905585,0.0615,0.8568305646161978,0.5436734976195138,Ischaemia,Red
0.07396058957955438,0.1415,0.841,0.9825,0.524,11.894094389741781,-5.492311249077943,0.076,0.7522420002449389,0.10882401711976913,Ischaemia,Red
0.06017764629452015,0.266,0.5985,0.8645,0.6275,10.017400731975329,-4.873521749844372,0.0655,0.8535783940765967,0.010117966667347501,Ischaemia,Red
0.0637017998516994,0.284,0.7035,0.9875,0.5205,9.990058676085937,-3.852568008603839,0.014,0.9800461709571285,0.21820643791201333,Ischaemia,Red
0.0701115428607085,0.2275,0.8595,1.087,0.54,12.272226734969422,-4.224193553617511,0.0105,0.7771290306814893,0.04454311329295621,Ischaemia,Red
0.06215575938692244,0.2175,0.7365,0.954,0.726,10.965066871103772,-5.531105307036626,0.0535,0.8674178454931342,0.2861820173097124,Ischaemia,Red
