Feature,Depth,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,LR_Positive,LR_Negative,TP,TN,FP,FN
IR_Diastolic_Width,3,Congestion,30,31,0.2075,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_Pulse_Width,3,Congestion,30,31,0.2043,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_Upslope,3,Congestion,30,31,0.1806,,,11.5403,0.0323,1.0000,1.0000,0.5000,0.5082,0.0625,,0.9677,1,30,0,30
IR_S_AUC,3,Congestion,30,31,0.1602,,,0.8168,0.1290,1.0000,1.0000,0.5263,0.5574,0.2286,,0.8710,4,30,0,27
IR_Kurtosis,3,Congestion,30,31,0.1032,,,-1.2613,0.0968,0.9667,0.7500,0.5088,0.5246,0.1714,2.9032,0.9344,3,29,1,28
IR_Skewness,3,Congestion,30,31,0.0430,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_SDPPG_d_a,3,Congestion,30,31,0.0247,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_Fall_Time,3,Congestion,30,31,0.0124,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_Slope_Ratio,3,Congestion,30,31,0.0118,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_Downslope,3,Congestion,30,31,0.0118,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_IPAR,3,Congestion,30,31,0.0108,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_Amplitude,3,Congestion,30,31,0.0000,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
IR_PI,3,Congestion,30,31,0.0000,,,inf,0.0000,1.0000,0.0000,0.4918,0.4918,0.0000,,1.0000,0,30,0,31
