PI,Crest_Time,Decay_Time,Pulse_Width,PW50,Systolic_Width,Diastolic_Width,Upslope,Downslope,DNP,RWI,Delta_T,State,Channel
0.0701115428607085,0.2275,0.859,1.087,0.54,0.2275,0.859,4.395604395604395,1.1641443538998837,0.9999736103476455,0.9999736103476455,0.2275,Ischaemia,Red
0.06215575938692244,0.2175,0.736,0.954,0.726,0.2175,0.736,4.597701149425287,1.358695652173913,0.9999588994217853,0.9999588994217853,0.2175,Ischaemia,Red
0.06591224333700718,0.369,0.592,0.9615,0.5405,0.369,0.592,2.710027100271003,1.6891891891891893,0.9999702407809439,0.9999702407809439,0.369,Ischaemia,Red
0.06517628593422059,0.2525,0.7485,1.0015,0.5935,0.2525,0.7485,3.9603960396039604,1.336005344021376,0.9999264310214253,0.9999264310214253,0.2525,Ischaemia,Red
0.07191455413564439,0.138,0.8495,0.988,0.567,0.138,0.8495,7.246376811594202,1.1771630370806356,0.9999823533947271,0.9999823533947271,0.138,Ischaemia,Red
0.0703428101455003,0.273,0.5825,0.856,0.531,0.273,0.5825,3.663003663003663,1.7167381974248928,0.9999795785675394,0.9999795785675394,0.273,Ischaemia,Red
0.06263936351698073,0.2455,0.843,1.089,0.609,0.2455,0.843,4.0733197556008145,1.1862396204033214,0.9994036969435509,0.9994036969435509,0.2455,Ischaemia,Red
0.0609780751453672,0.199,0.765,0.9645,0.648,0.199,0.765,5.025125628140703,1.3071895424836601,0.9998069830091405,0.9998069830091405,0.199,Ischaemia,Red
0.0641705366013973,0.1275,0.8195,0.9475,0.509,0.1275,0.8195,7.8431372549019605,1.2202562538133008,0.9999926574206798,0.9999926574206798,0.1275,Ischaemia,Red
0.06269909271679461,0.197,0.8225,1.02,0.5185,0.197,0.8225,5.0761421319796955,1.21580547112462,0.9999591066690214,0.9999591066690214,0.197,Ischaemia,Red
0.06600624400924486,0.2385,0.7245,0.9635,0.4835,0.2385,0.7245,4.1928721174004195,1.3802622498274673,0.9999688916249624,0.9999688916249624,0.2385,Ischaemia,Red
0.06743551538079766,0.163,0.7995,0.963,0.7005,0.163,0.7995,6.134969325153374,1.2507817385866167,0.9999483778454593,0.9999483778454593,0.163,Ischaemia,Red
0.06512628680020835,0.194,0.785,0.9795,0.5485,0.194,0.785,5.154639175257731,1.2738853503184713,0.9999348170781097,0.9999348170781097,0.194,Ischaemia,Red
0.05908034339626992,0.256,0.755,1.0115,0.6765,0.256,0.755,3.90625,1.3245033112582782,0.9999605615220598,0.9999606899710272,0.256,Ischaemia,Red
0.06734764679687147,0.2735,0.6775,0.9515,0.532,0.2735,0.6775,3.6563071297989027,1.4760147601476015,0.9999881987251159,0.9999881987251159,0.2735,Ischaemia,Red
0.06270692297176995,0.1325,0.693,0.826,0.7045,0.1325,0.693,7.547169811320754,1.443001443001443,0.9996429722570578,0.9996429722570578,0.1325,Ischaemia,Red
0.1498767914234695,0.143,0.822,0.9655,0.565,0.143,0.822,6.993006993006993,1.2165450121654502,0.9999847052602824,0.9999847052602824,0.143,Ischaemia,IR
0.15207781179995167,0.1585,0.8165,0.9755,0.5305,0.1585,0.8165,6.309148264984227,1.224739742804654,0.9997431310596726,0.9997431310596726,0.1585,Ischaemia,IR
0.15154413019421348,0.1605,0.82,0.981,0.5425,0.1605,0.82,6.230529595015576,1.2195121951219512,0.9998772840051793,0.9998772840051793,0.1605,Ischaemia,IR
0.15495431586538647,0.1495,0.8245,0.9745,0.5365,0.1495,0.8245,6.688963210702341,1.212856276531231,0.9999795654784818,0.9999795654784818,0.1495,Ischaemia,IR
0.15309569949999338,0.1535,0.824,0.978,0.519,0.1535,0.824,6.514657980456026,1.2135922330097089,0.9999672249383977,0.9999672249383977,0.1535,Ischaemia,IR
0.15517176643616484,0.1475,0.825,0.973,0.5375,0.1475,0.825,6.779661016949153,1.2121212121212122,0.999900479149591,0.999900479149591,0.1475,Ischaemia,IR
0.15686322178352877,0.154,0.825,0.9795,0.5385,0.154,0.825,6.4935064935064934,1.2121212121212122,0.9999993850771013,0.9999993850771013,0.154,Ischaemia,IR
0.15553627855047075,0.1445,0.8335,0.9785,0.542,0.1445,0.8335,6.920415224913495,1.1997600479904018,0.9999583498292544,0.9999583498292544,0.1445,Ischaemia,IR
0.15544676346940406,0.1435,0.828,0.972,0.5335,0.1435,0.828,6.968641114982579,1.2077294685990339,0.9999923557704438,0.9999923557704438,0.1435,Ischaemia,IR
0.15320209984978272,0.15,0.822,0.9725,0.546,0.15,0.822,6.666666666666667,1.2165450121654502,0.9999927608354677,0.9999927608354677,0.15,Ischaemia,IR
0.1537052869358921,0.152,0.822,0.9745,0.5395,0.152,0.822,6.578947368421053,1.2165450121654502,0.999908071348669,0.999908071348669,0.152,Ischaemia,IR
0.15196915113101794,0.155,0.825,0.9805,0.5335,0.155,0.825,6.451612903225807,1.2121212121212122,0.9999687230313605,0.9999687230313605,0.155,Ischaemia,IR
0.15230256642945916,0.1455,0.825,0.971,0.5295,0.1455,0.825,6.872852233676976,1.2121212121212122,0.9999800488501221,0.9999800488501221,0.1455,Ischaemia,IR
0.15476641783367756,0.1545,0.818,0.973,0.5405,0.1545,0.818,6.472491909385114,1.2224938875305624,0.9998249369109277,0.9998249369109277,0.1545,Ischaemia,IR
0.1552155685614029,0.1495,0.828,0.978,0.539,0.1495,0.828,6.688963210702341,1.2077294685990339,0.999994070372743,0.999994070372743,0.1495,Ischaemia,IR
