State,Channel,Depth_mm,Pulse_ID,Amplitude,AUC,S_AUC,D_AUC,AUC_Ratio,Start_Datum_Area,End_Datum_Area,Datum_Area_Ratio,Max_Start_Datum_Diff
Normal,IR,3,10,1.6238468207045295e+143,1.8676775819750248e+146,7.352636263387966e+145,1.1307901099954617e+146,0.6502211328517433,-3.6726121251170546e+145,2.3684143005691667e+144,-15.50662873566702,1.6238468207045295e+143
Normal,IR,3,11,6.261632612355471e+140,7.215710979046432e+143,2.854731641184062e+143,4.354717707435833e+143,0.6555491843499999,-1.4461695036938982e+143,8.339635034933107e+141,-17.34092076734984,6.261632612355471e+140
Normal,IR,3,12,1.9110624382934766e+138,4.096586033915299e+140,4.096586033915299e+140,0.0,,-5.143068395934787e+140,0.0,,1.9110624382934766e+138
Normal,IR,3,13,3.169937733242293e+137,2.5445489039433865e+140,6.410177930421035e+139,1.9003611798171915e+140,0.33731366429184123,1.3595182328007585e+139,3.3748221744168635e+139,0.4028414424637559,3.169937733242293e+137
Normal,IR,3,14,6.87487385717483e+135,7.492240435722387e+138,2.7697006426263134e+138,4.7156649241743675e+138,0.5873404254037919,-9.16890021317203e+137,1.2649516664468048e+137,-7.248419411096615,6.87487385717483e+135
Normal,IR,3,15,3.58172913311102e+133,4.0590132306681364e+136,1.5919635188166052e+136,2.463467985065876e+136,0.6462286209796367,-8.02157361453925e+135,5.2534458164233e+134,-15.269165981425449,3.58172913311102e+133
Ischaemia,Red,3,0,1.5473686512188964e+196,2.743019563736841e+200,7.043236382043238e+198,2.6724324631011064e+200,0.026355152017088674,-3.5722063728344163e+198,2.117110029138805e+197,-16.873031272198514,1.5473686512188964e+196
Ischaemia,Red,3,1,4.644046731185752e+164,4.913321090243528e+167,1.7417321530434726e+167,3.166944891557141e+167,0.5499723590665603,-5.29918503364572e+166,9.852124372239456e+165,-5.378723241230437,4.644046731185752e+164
Ischaemia,Red,3,2,2.6644022427064063e+162,3.0409586787389907e+165,1.208106122471304e+165,1.830188154925652e+165,0.6600994106643538,-6.188083417717061e+164,3.5942037360990015e+163,-17.21684098084364,2.6644022427064063e+162
Ischaemia,Red,3,3,1.0800443350044525e+160,4.187043544542175e+163,4.911981031202527e+162,3.694765397872266e+163,0.13294432804938655,-2.531463350438172e+162,1.3773408866639624e+161,-18.379352380728296,1.0800443350044525e+160
